"sex","self_neuroticism","self_extraversion","self_openness","self_agreeableness","self_conscientiousness","other_neuroticism","other_extraversion","other_openness","other_agreeableness","other_conscientiousness"
"female",10,19.8333333333333,15.8333333333333,22.5,25.5,15.6666666666667,22,17.8333333333333,21.1666666666667,22.8333333333333
"male",17.1666666666667,13,18,17,20,14,17.1666666666667,16,11.5,24.5
"female",13.8333333333333,18.6666666666667,19.3333333333333,20.1666666666667,19.1666666666667,11.5,17.6666666666667,18,20.8333333333333,22.8333333333333
"male",21.3333333333333,18.6666666666667,21.8333333333333,18.1666666666667,22.3333333333333,17.6666666666667,17.5,14.8333333333333,16.3333333333333,18.3333333333333
"male",10.5,16.6666666666667,15.1666666666667,21.5,23.8333333333333,12.6666666666667,17,16.8333333333333,25.8333333333333,24.5
"male",16.3333333333333,18.5,18,19,22.5,10.5,20.6666666666667,17.3333333333333,21.6666666666667,22.3333333333333
"female",16.3333333333333,25.1666666666667,23.6666666666667,19.1666666666667,18.3333333333333,16,20.5,15.6666666666667,17.1666666666667,17.6666666666667
"male",12.3333333333333,15.8333333333333,14.8333333333333,19.3333333333333,22.3333333333333,11.6666666666667,18.5,15.1666666666667,21,23.5
"female",19.6666666666667,18,18.6666666666667,23,22.3333333333333,17,14,10.8333333333333,16.8333333333333,20.5
"male",22,14.3333333333333,15.6666666666667,24,20.1666666666667,13.5,16,14.6666666666667,20.8333333333333,22.5
"female",15.3333333333333,18.6666666666667,17.8333333333333,19.8333333333333,20,16.3333333333333,20.6666666666667,18.5,24.3333333333333,24
"female",12,7.33333333333333,11.1666666666667,27.5,25.6666666666667,12.8333333333333,20.3333333333333,15.3333333333333,19.3333333333333,19.1666666666667
"female",20.3333333333333,14,17.5,17.8333333333333,24.6666666666667,20.1666666666667,16,18.5,14.6666666666667,24
"female",16.6666666666667,12.1666666666667,17,23,21.6666666666667,16.5,12.3333333333333,14.8333333333333,19.5,23.3333333333333
"female",14.3333333333333,13.3333333333333,16.3333333333333,19.6666666666667,19.6666666666667,16.6666666666667,11.8333333333333,13.8333333333333,18.8333333333333,20.1666666666667
"male",11.1666666666667,15.8333333333333,17.8333333333333,21,19.8333333333333,10.8333333333333,18.5,17.3333333333333,20.5,21.1666666666667
"female",18.8333333333333,16.5,17,15.6666666666667,22,19.8333333333333,17.6666666666667,16.8333333333333,9.16666666666667,22.8333333333333
"female",12.1666666666667,28.6666666666667,20.6666666666667,9,14.5,14.1666666666667,23.1666666666667,14.8333333333333,13.5,15.8333333333333
"male",11.8333333333333,15.1666666666667,13.5,19.6666666666667,23.6666666666667,15.8333333333333,15.3333333333333,15.8333333333333,18.1666666666667,23.6666666666667
"female",20.1666666666667,13.1666666666667,17.5,15.3333333333333,21.3333333333333,20.3333333333333,12.3333333333333,14.6666666666667,18.5,25.3333333333333
"male",16.6666666666667,13.3333333333333,14.3333333333333,16.3333333333333,21.1666666666667,13.8333333333333,19.8333333333333,18.1666666666667,13.6666666666667,12.8333333333333
"female",20,17.1666666666667,16.6666666666667,18.8333333333333,17.5,18,21.5,15,18.6666666666667,22.1666666666667
"female",13.3333333333333,19.8333333333333,19.3333333333333,20.3333333333333,25.1666666666667,11.1666666666667,18.6666666666667,16.8333333333333,20.6666666666667,27.1666666666667
"male",6.33333333333333,23.6666666666667,19.8333333333333,20.1666666666667,24.5,7.33333333333333,21.5,19.6666666666667,25.6666666666667,24.6666666666667
"male",17,17.8333333333333,15,18.1666666666667,18.5,20.5,12.5,7.66666666666667,13.5,21
"female",21.6666666666667,20.3333333333333,23.3333333333333,17.8333333333333,20,18.8333333333333,20.1666666666667,19.5,19.3333333333333,24.6666666666667
"female",14.6666666666667,14,16,22.8333333333333,21,11,18.5,17.6666666666667,21,25.1666666666667
"male",12.1666666666667,17.1666666666667,14.5,18.8333333333333,12.3333333333333,13.1666666666667,12.5,11.5,17.6666666666667,13.3333333333333
"female",19.8333333333333,20.5,13.6666666666667,14.8333333333333,15,17.6666666666667,21.8333333333333,15.1666666666667,15.1666666666667,20.5
"female",18.3333333333333,13,14,18.6666666666667,16.1666666666667,8.66666666666667,19.5,15.3333333333333,21.8333333333333,28.3333333333333
"female",14.6666666666667,14,16.8333333333333,24.5,23,20.3333333333333,13.1666666666667,12,22.6666666666667,20.3333333333333
"male",17.6666666666667,22.1666666666667,14.3333333333333,17.3333333333333,21.5,16.5,26.6666666666667,17.5,14,23.8333333333333
"female",14.8333333333333,7.33333333333333,11,23.6666666666667,22.8333333333333,8.66666666666667,13,18.5,26.6666666666667,25.5
"female",12,10.5,10.1666666666667,21.8333333333333,20.3333333333333,12,14.8333333333333,13.6666666666667,20.6666666666667,21
"female",20.1666666666667,15.1666666666667,16.3333333333333,17,18,21.1666666666667,15.3333333333333,17.5,20.8333333333333,18.1666666666667
"male",11.1666666666667,11,11.5,21.5,17.6666666666667,13,12,11.5,21.6666666666667,16
"female",18.1666666666667,16.6666666666667,19,18.1666666666667,15.8333333333333,17.3333333333333,22,16.8333333333333,14,14.6666666666667
"female",12.1666666666667,15.6666666666667,15,18.6666666666667,24,13,16.6666666666667,15.3333333333333,23.8333333333333,24.8333333333333
"female",21.6666666666667,18.3333333333333,19.3333333333333,18,15.1666666666667,23,18,18.5,16.5,11.5
"female",13.1666666666667,17.8333333333333,17.8333333333333,22.5,20.3333333333333,18.3333333333333,12,13.3333333333333,15.1666666666667,13.3333333333333
"female",15.8333333333333,19.6666666666667,18,18.1666666666667,27.6666666666667,16.8333333333333,16.3333333333333,13.6666666666667,18.5,29.3333333333333
"male",11.5,12.3333333333333,14.3333333333333,22.8333333333333,18.3333333333333,9.83333333333333,17,16.1666666666667,24.6666666666667,20.6666666666667
"female",16,7,17.6666666666667,24.1666666666667,13.8333333333333,13.8333333333333,14.5,17.3333333333333,22.5,18
"male",15,15.5,14.1666666666667,19.1666666666667,20.8333333333333,15.5,16.6666666666667,14.3333333333333,19.1666666666667,20.6666666666667
"female",15.1666666666667,15.1666666666667,13.3333333333333,13.5,27.1666666666667,11,24.5,17.8333333333333,18.3333333333333,23.3333333333333
"female",18.8333333333333,19.3333333333333,17,21.3333333333333,18.3333333333333,11.5,24.3333333333333,15.8333333333333,21.3333333333333,23.6666666666667
"male",12.8333333333333,21.3333333333333,14.8333333333333,23.6666666666667,27.6666666666667,16.6666666666667,21.5,15,16.8333333333333,23.1666666666667
"male",10.1666666666667,16.1666666666667,18.8333333333333,22.1666666666667,22.8333333333333,13.8333333333333,16.3333333333333,15.6666666666667,20.1666666666667,21
"male",17.8333333333333,8,12.8333333333333,16.6666666666667,21.5,16.5,16.5,18.3333333333333,14.3333333333333,23.3333333333333
"female",11.3333333333333,15.5,12.5,17.6666666666667,21.3333333333333,16.5,15.6666666666667,16.3333333333333,16.1666666666667,16.1666666666667
"male",10.3333333333333,15.5,17.3333333333333,21.8333333333333,18,14.1666666666667,18.6666666666667,21.1666666666667,22.1666666666667,20.5
"female",16.3333333333333,16.3333333333333,18.1666666666667,19.3333333333333,19.5,11.3333333333333,21,16,23.3333333333333,28.8333333333333
"female",14.1666666666667,13.1666666666667,15,21,13.6666666666667,12.3333333333333,20.6666666666667,17,17.5,16.8333333333333
