"Condition","Days_One_to_Seven_Image_Based_Intrusions_in_Intrusion_Diary"
"No-Task Control",4
"No-Task Control",3
"No-Task Control",6
"No-Task Control",2
"No-Task Control",3
"No-Task Control",4
"No-Task Control",0
"No-Task Control",4
"No-Task Control",2
"No-Task Control",11
"No-Task Control",16
"No-Task Control",12
"No-Task Control",2
"No-Task Control",7
"No-Task Control",7
"No-Task Control",6
"No-Task Control",2
"No-Task Control",1
"Reactivation+Tetris",1
"Reactivation+Tetris",2
"Reactivation+Tetris",3
"Reactivation+Tetris",0
"Reactivation+Tetris",2
"Reactivation+Tetris",3
"Reactivation+Tetris",2
"Reactivation+Tetris",1
"Reactivation+Tetris",7
"Reactivation+Tetris",0
"Reactivation+Tetris",3
"Reactivation+Tetris",2
"Reactivation+Tetris",2
"Reactivation+Tetris",1
"Reactivation+Tetris",0
"Reactivation+Tetris",1
"Reactivation+Tetris",0
"Reactivation+Tetris",4
"Tetris Only",2
"Tetris Only",2
"Tetris Only",2
"Tetris Only",3
"Tetris Only",2
"Tetris Only",8
"Tetris Only",3
"Tetris Only",12
"Tetris Only",5
"Tetris Only",5
"Tetris Only",1
"Tetris Only",5
"Tetris Only",1
"Tetris Only",1
"Tetris Only",4
"Tetris Only",2
"Tetris Only",7
"Tetris Only",5
"Reactivation Only",4
"Reactivation Only",4
"Reactivation Only",2
"Reactivation Only",3
"Reactivation Only",2
"Reactivation Only",15
"Reactivation Only",6
"Reactivation Only",3
"Reactivation Only",7
"Reactivation Only",5
"Reactivation Only",1
"Reactivation Only",6
"Reactivation Only",9
"Reactivation Only",1
"Reactivation Only",4
"Reactivation Only",4
"Reactivation Only",7
"Reactivation Only",4
